"","Raft","Nutrients","Mixing","Spores","Trt","Bag","Day","NDay","SRP","CP","NP","NP.1","ad320"
"321","1","Low","Mix","Spores","Low Mix Spores","1",31,11,1.601389926,161.4376706,19.89088634,19.89088634,0.2395
"322","1","High","Mix","No","High Mix No","2",31,11,13.04685701,205.213562,29.72692363,29.72692363,0.2681
"324","1","High","No","No","High No No","4",31,11,14.02232295,166.2239671,25.20406451,25.20406451,0.249
"325","1","Low","Mix","No","Low Mix No","5",31,11,2.007834069,151.3366164,20.40311645,20.40311645,0.2389
"326","1","High","Mix","Spores","High Mix Spores","6",31,11,8.397136007,136.4339422,18.3678894,18.3678894,0.2627
"327","1","Low","No","No","Low No No","7",31,11,2.544340339,293.7935675,33.43446839,33.43446839,0.2292
"328","1","High","No","Spores","High No Spores","8",31,11,11.32353384,136.0963742,18.31608885,18.31608885,0.2526
"330","2","Low","No","Spores","Low No Spores","10",31,11,1.243719079,273.7535311,30.91578883,30.91578883,0.2764
"331","2","High","Mix","Spores","High Mix Spores","11",31,11,3.584837347,116.9615711,13.17058211,13.17058211,0.2447
"332","2","Low","Mix","No","Low Mix No","12",31,11,1.259976845,197.8724847,24.78863655,24.78863655,0.2788
"333","2","High","No","Spores","High No Spores","13",31,11,11.19347171,83.48879267,10.42206516,10.42206516,0.2439
"335","2","High","Mix","No","High Mix No","15",31,11,1.487585566,188.3486826,23.10686387,23.10686387,0.2839
"336","2","Low","Mix","Spores","Low Mix Spores","16",31,11,2.072865132,154.91775,18.07983001,18.07983001,0.245
"337","3","Low","No","No","Low No No","17",31,11,1.308750142,306.1242699,31.54128742,31.54128742,0.2832
"338","3","High","No","Spores","High No Spores","18",31,11,11.46985373,107.4684309,12.80588601,12.80588601,0.2676
"339","3","Low","Mix","No","Low Mix No","19",31,11,2.690660231,236.7249971,26.30173574,26.30173574,0.2725
"342","3","High","No","No","High No No","22",31,11,11.82752458,130.3409128,16.23948031,16.23948031,0.2716
"343","3","Low","Mix","Spores","Low Mix Spores","23",31,11,2.99955778,227.7449774,27.60433463,27.60433463,0.2891
"344","3","High","Mix","No","High Mix No","24",31,11,3.243424266,184.8697286,22.74356067,22.74356067,0.2841
"345","4","Low","No","Spores","Low No Spores","25",31,11,2.609371402,171.3284726,22.24261498,22.24261498,0.2368
"346","4","High","No","No","High No No","26",31,11,9.22628206,175.5426323,24.80116356,24.80116356,0.2667
"347","4","Low","Mix","No","Low Mix No","27",31,11,4.966747435,252.1534966,26.49085664,26.49085664,0.2561
"348","4","High","Mix","Spores","High Mix Spores","28",31,11,9.648983969,59.20985559,9.542552742,9.542552742,0.2559
"349","4","Low","No","No","Low No No","29",31,11,3.617352878,122.1856309,16.32897926,16.32897926,0.2264
"350","4","Low","Mix","Spores","Low Mix Spores","30",31,11,4.625334354,150.6884664,16.46467837,16.46467837,0.2382
"351","4","High","No","Spores","High No Spores","31",31,11,3.243424266,135.1744919,19.67964385,19.67964385,0.2844
"352","4","High","Mix","No","High Mix No","32",31,11,8.738549087,105.8684891,14.19626521,14.19626521,0.2554
"481","1","Low","Mix","Spores","Low Mix Spores","1",46,16,2.472663499,170.3915692,21.82133088,21.82133088,0.2357
"482","1","High","Mix","No","High Mix No","2",46,16,16.38039541,190.0805802,19.93819673,19.93819673,0.2568
"484","1","High","No","No","High No No","4",46,16,19.13313407,165.7497859,14.54698236,14.54698236,0.2354
"485","1","Low","Mix","No","Low Mix No","5",46,16,1.880504603,317.6105734,32.43329575,32.43329575,0.2416
"486","1","High","Mix","Spores","High Mix Spores","6",46,16,13.83571259,119.3175111,13.46692047,13.46692047,0.2494
"487","1","Low","No","No","Low No No","7",46,16,2.024543253,170.748769,16.77595525,16.77595525,0.2356
"488","1","High","No","Spores","High No Spores","8",46,16,10.77889234,172.0227727,17.25086176,17.25086176,0.2316
"490","2","Low","No","Spores","Low No Spores","10",46,16,2.936788039,161.2111945,17.93572375,17.93572375,0.2623
"491","2","High","Mix","Spores","High Mix Spores","11",46,16,4.729269023,126.5973884,16.2183981,16.2183981,0.2732
"492","2","Low","Mix","No","Low Mix No","12",46,16,1.704457363,241.8476369,25.64453199,25.64453199,0.27
"493","2","High","No","Spores","High No Spores","13",46,16,16.36439112,152.2865402,14.67293352,14.67293352,0.2465
"495","2","High","Mix","No","High Mix No","15",46,16,4.153114421,209.9371734,19.43785297,19.43785297,0.2817
"496","2","Low","Mix","Spores","Low Mix Spores","16",46,16,2.680719328,215.6959941,24.83627292,24.83627292,0.2452
"497","3","Low","No","No","Low No No","17",46,16,2.168581904,297.4161918,33.67301602,33.67301602,0.2686
"498","3","High","No","Spores","High No Spores","18",46,16,9.626583137,133.4782471,15.73674215,15.73674215,0.2301
"499","3","Low","Mix","No","Low Mix No","19",46,16,2.568689266,188.74567,21.40309176,21.40309176,0.2556
"502","3","High","No","No","High No No","22",46,16,15.50015922,189.129938,19.96197642,19.96197642,0.2609
"503","3","Low","Mix","Spores","Low Mix Spores","23",46,16,2.424650616,260.7296039,29.96286062,29.96286062,0.2587
"504","3","High","Mix","No","High Mix No","24",46,16,3.272878224,221.7168386,26.68425173,26.68425173,0.2733
"505","4","Low","No","Spores","Low No Spores","25",46,16,2.392642027,278.2454731,31.55066678,31.55066678,0.2311
"506","4","High","No","No","High No No","26",46,16,13.64366105,213.7720513,20.45163204,20.45163204,0.2396
"507","4","Low","Mix","No","Low Mix No","27",46,16,3.801019942,218.4086969,22.03043662,22.03043662,0.245
"508","4","High","Mix","Spores","High Mix Spores","28",46,16,10.37878498,113.3565748,14.68106633,14.68106633,0.243
"509","4","Low","No","No","Low No No","29",46,16,2.584693561,347.6352459,30.43515471,30.43515471,0.2296
"510","4","Low","Mix","Spores","Low Mix Spores","30",46,16,4.313157366,329.655633,40.19962011,40.19962011,0.2336
"511","4","High","No","Spores","High No Spores","31",46,16,4.665251845,133.2279287,14.50450115,14.50450115,0.2755
"512","4","High","Mix","No","High Mix No","32",46,16,13.40359664,182.837059,18.57142917,18.57142917,0.2408
